Id,Name,Canonical,Region,Country,Country Code
"1007543","Rhodes","Rhodes,Decentralized Administration of the Aegean,Greece","Decentralized Administration of the Aegean","Greece","gr"
"20078","Federation of Bosnia and Herzegovina","Federation of Bosnia and Herzegovina,Bosnia and Herzegovina","","Bosnia and Herzegovina","ba"
"20079","Republika Srpska","Republika Srpska,Bosnia and Herzegovina","","Bosnia and Herzegovina","ba"
"20152","Antofagasta","Antofagasta,Chile","","Chile","cl"
"20153","Araucania","Araucania,Chile","","Chile","cl"
"20154","Bio Bio","Bio Bio,Chile","","Chile","cl"
"20155","Coquimbo","Coquimbo,Chile","","Chile","cl"
"20156","O'Higgins","O'Higgins,Chile","","Chile","cl"
"20157","Los Lagos","Los Lagos,Chile","","Chile","cl"
"20158","Magallanes and Chilean Antarctica","Magallanes and Chilean Antarctica,Chile","","Chile","cl"
"20159","Maule","Maule,Chile","","Chile","cl"
"20160","Santiago Metropolitan Region","Santiago Metropolitan Region,Chile","","Chile","cl"
"20161","Tarapaca","Tarapaca,Chile","","Chile","cl"
"20162","Valparaiso","Valparaiso,Chile","","Chile","cl"
"20163","Beijing","Beijing,China","","China","cn"
"20164","Tianjin","Tianjin,China","","China","cn"
"20165","Hebei","Hebei,China","","China","cn"
"20166","Shanxi","Shanxi,China","","China","cn"
"20167","Inner Mongolia","Inner Mongolia,China","","China","cn"
"20168","Liaoning","Liaoning,China","","China","cn"
"20169","Jilin","Jilin,China","","China","cn"
"20170","Heilongjiang","Heilongjiang,China","","China","cn"
"20171","Shanghai","Shanghai,China","","China","cn"
"20172","Jiangsu","Jiangsu,China","","China","cn"
"20173","Zhejiang","Zhejiang,China","","China","cn"
"20174","Anhui","Anhui,China","","China","cn"
"20175","Fujian","Fujian,China","","China","cn"
"20176","Jiangxi","Jiangxi,China","","China","cn"
"20177","Shandong","Shandong,China","","China","cn"
"20178","Henan","Henan,China","","China","cn"
"20179","Hubei","Hubei,China","","China","cn"
"20180","Hunan","Hunan,China","","China","cn"
"20181","Guangdong Province","Guangdong Province,China","","China","cn"
"20182","Guangxi","Guangxi,China","","China","cn"
"20183","Hainan","Hainan,China","","China","cn"
"20184","Chongqing","Chongqing,China","","China","cn"
"20185","Sichuan","Sichuan,China","","China","cn"
"20186","Guizhou","Guizhou,China","","China","cn"
"20187","Yunnan","Yunnan,China","","China","cn"
"20188","Tibet","Tibet,China","","China","cn"
"20189","Shaanxi","Shaanxi,China","","China","cn"
"20190","Gansu","Gansu,China","","China","cn"
"20191","Qinghai","Qinghai,China","","China","cn"
"20192","Ningxia","Ningxia,China","","China","cn"
"20193","Xinjiang","Xinjiang,China","","China","cn"
"20198","Antioquia","Antioquia,Colombia","","Colombia","co"
"20199","Atlantico","Atlantico,Colombia","","Colombia","co"
"20200","Bolivar","Bolivar,Colombia","","Colombia","co"
"20201","Caldas","Caldas,Colombia","","Colombia","co"
"20202","Cundinamarca","Cundinamarca,Colombia","","Colombia","co"
